model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Dummy Classifier,0.403,0.449,0.444,0.442,0.462,0.408
KNN,0.433,0.452,0.485,0.507,0.439,0.420
LinearSVM,0.477,0.451,0.506,0.458,0.464,0.525
LogisticRegression,0.474,0.466,0.530,0.518,0.485,0.521
LogisticRegressionElasticNet,0.416,0.507,0.489,0.460,0.467,0.507
LogisticRegressionLasso,0.451,0.553,0.524,0.493,0.523,0.587
LogisticRegressionRidge,0.450,0.528,0.501,0.494,0.519,0.484
NaiveBayes,0.505,0.539,0.557,0.572,0.498,0.531
RandomForest,0.478,0.590,0.503,0.476,0.550,0.496
RidgeClassifier,0.451,0.556,0.492,0.486,0.498,0.493
SVM,0.396,0.207,0.288,0.441,0.310,0.351
XGBoost,0.502,0.502,0.553,0.516,0.608,**0.612**
